FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
2015-12-31,3.0620,3.0620,-2.05,开放申购,开放赎回,,,1,,,,
2015-12-30,3.1260,3.1260,3.51,开放申购,开放赎回,,,1,,,,
2015-12-29,3.0200,3.0200,2.03,开放申购,开放赎回,,,1,,,,
2015-12-28,2.9600,2.9600,0.24,开放申购,开放赎回,,,1,,,,
2015-12-25,2.9530,2.9530,0.44,开放申购,开放赎回,,,1,,,,
2015-12-24,2.9400,2.9400,1.52,开放申购,开放赎回,,,1,,,,
2015-12-23,2.8960,2.8960,-3.34,开放申购,开放赎回,,,1,,,,
2015-12-22,2.9960,2.9960,1.87,开放申购,开放赎回,,,1,,,,
2015-12-21,2.9410,2.9410,-0.44,开放申购,开放赎回,,,1,,,,
2015-12-18,2.9540,2.9540,-1.57,开放申购,开放赎回,,,1,,,,
2015-12-17,3.0010,3.0010,3.41,开放申购,开放赎回,,,1,,,,
2015-12-16,2.9020,2.9020,0.55,开放申购,开放赎回,,,1,,,,
2015-12-15,2.8860,2.8860,3.15,开放申购,开放赎回,,,1,,,,
2015-12-14,2.7980,2.7980,0.21,开放申购,开放赎回,,,1,,,,
2015-12-11,2.7920,2.7920,-2.38,开放申购,开放赎回,,,1,,,,
2015-12-10,2.8600,2.8600,-0.52,开放申购,开放赎回,,,1,,,,
2015-12-09,2.8750,2.8750,1.05,开放申购,开放赎回,,,1,,,,
2015-12-08,2.8450,2.8450,1.75,开放申购,开放赎回,,,1,,,,
2015-12-07,2.7960,2.7960,2.23,开放申购,开放赎回,,,1,,,,
2015-12-04,2.7350,2.7350,-0.33,开放申购,开放赎回,,,1,,,,
2015-12-03,2.7440,2.7440,2.96,开放申购,开放赎回,,,1,,,,
2015-12-02,2.6650,2.6650,-0.93,开放申购,开放赎回,,,1,,,,
2015-12-01,2.6900,2.6900,-2.96,开放申购,开放赎回,,,1,,,,
2015-11-30,2.7720,2.7720,1.76,开放申购,开放赎回,,,1,,,,
