FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2015-12-31,1.5980,2.5420,,,1,-1.24,开放申购,开放赎回,,,,
2015-12-30,1.6180,2.5620,,,1,2.08,开放申购,开放赎回,,,,
2015-12-29,1.5850,2.5290,,,1,1.34,开放申购,开放赎回,,,,
2015-12-28,1.5640,2.5080,,,1,-1.88,开放申购,开放赎回,,,,
2015-12-25,1.5940,2.5380,,,1,1.01,开放申购,开放赎回,,,,
2015-12-24,1.5780,2.5220,,,1,0.13,开放申购,开放赎回,,,,
2015-12-23,1.5760,2.5200,,,1,-1.01,开放申购,开放赎回,,,,
2015-12-22,1.5920,2.5360,,,1,1.14,开放申购,开放赎回,,,,
2015-12-21,1.5740,2.5180,,,1,1.16,开放申购,开放赎回,,,,
2015-12-18,1.5560,2.5000,,,1,0.39,开放申购,开放赎回,,,,
2015-12-17,1.5500,2.4940,,,1,2.38,开放申购,开放赎回,,,,
2015-12-16,1.5140,2.4580,,,1,0.53,开放申购,开放赎回,,,,
2015-12-15,1.5060,2.4500,,,1,1.35,开放申购,开放赎回,,,,
2015-12-14,1.4860,2.4300,,,1,1.02,开放申购,开放赎回,,,,
2015-12-11,1.4710,2.4150,,,1,-0.74,开放申购,开放赎回,,,,
2015-12-10,1.4820,2.4260,,,1,0.20,开放申购,开放赎回,,,,
2015-12-09,1.4790,2.4230,,,1,-0.54,开放申购,开放赎回,,,,
2015-12-08,1.4870,2.4310,,,1,-1.72,开放申购,开放赎回,,,,
2015-12-07,1.5130,2.4570,,,1,1.61,开放申购,开放赎回,,,,
2015-12-04,1.4890,2.4330,,,1,-0.33,开放申购,开放赎回,,,,
2015-12-03,1.4940,2.4380,,,1,3.18,开放申购,开放赎回,,,,
2015-12-02,1.4480,2.3920,,,1,-1.36,开放申购,开放赎回,,,,
2015-12-01,1.4680,2.4120,,,1,0.27,开放申购,开放赎回,,,,
2015-11-30,1.4640,2.4080,,,1,0.07,开放申购,开放赎回,,,,
2015-11-27,1.4630,2.4070,,,1,-5.37,开放申购,开放赎回,,,,
2015-11-26,1.5460,2.4900,,,1,0.00,开放申购,开放赎回,,,,
2015-11-25,1.5460,2.4900,,,1,1.71,开放申购,开放赎回,,,,
2015-11-24,1.5200,2.4640,,,1,1.00,开放申购,开放赎回,,,,
2015-11-23,1.5050,2.4490,,,1,0.13,开放申购,开放赎回,,,,
2015-11-20,1.5030,2.4470,,,1,1.28,开放申购,开放赎回,,,,
2015-11-19,1.4840,2.4280,,,1,2.49,开放申购,开放赎回,,,,
2015-11-18,1.4480,2.3920,,,1,-0.62,开放申购,开放赎回,,,,
2015-11-17,1.4570,2.4010,,,1,-0.61,开放申购,开放赎回,,,,
2015-11-16,1.4660,2.4100,,,1,2.30,开放申购,开放赎回,,,,
2015-11-13,1.4330,2.3770,,,1,-1.65,开放申购,开放赎回,,,,
2015-11-12,1.4570,2.4010,,,1,0.28,开放申购,开放赎回,,,,
2015-11-11,1.4530,2.3970,,,1,1.25,开放申购,开放赎回,,,,
2015-11-10,1.4350,2.3790,,,1,-0.07,开放申购,开放赎回,,,,
2015-11-09,1.4360,2.3800,,,1,1.27,开放申购,开放赎回,,,,
2015-11-06,1.4180,2.3620,,,1,1.65,开放申购,开放赎回,,,,
2015-11-05,1.3950,2.3390,,,1,0.43,开放申购,开放赎回,,,,
2015-11-04,1.3890,2.3330,,,1,3.50,开放申购,开放赎回,,,,
2015-11-03,1.3420,2.2860,,,1,0.07,开放申购,开放赎回,,,,
2015-11-02,1.3410,2.2850,,,1,-0.96,开放申购,开放赎回,,,,
2015-10-30,1.3540,2.2980,,,1,-0.59,开放申购,开放赎回,,,,
2015-10-29,1.3620,2.3060,,,1,1.11,开放申购,开放赎回,,,,
2015-10-28,1.3470,2.2910,,,1,-1.32,开放申购,开放赎回,,,,
2015-10-27,1.3650,2.3090,,,1,0.89,开放申购,开放赎回,,,,
2015-10-26,1.3530,2.2970,,,1,1.12,开放申购,开放赎回,,,,
2015-10-23,1.3380,2.2820,,,1,1.90,开放申购,开放赎回,,,,
2015-10-22,1.3130,2.2570,,,1,2.42,开放申购,开放赎回,,,,
2015-10-21,1.2820,2.2260,,,1,-3.25,开放申购,开放赎回,,,,
2015-10-20,1.3250,2.2690,,,1,1.77,开放申购,开放赎回,,,,
2015-10-19,1.3020,2.2460,,,1,0.46,开放申购,开放赎回,,,,
2015-10-16,1.2960,2.2400,,,1,1.09,开放申购,开放赎回,,,,
2015-10-15,1.2820,2.2260,,,1,2.31,开放申购,开放赎回,,,,
2015-10-14,1.2530,2.1970,,,1,-0.32,开放申购,开放赎回,,,,
2015-10-13,1.2570,2.2010,,,1,0.96,开放申购,开放赎回,,,,
2015-10-12,1.2450,2.1890,,,1,2.98,开放申购,开放赎回,,,,
2015-10-09,1.2090,2.1530,,,1,1.68,开放申购,开放赎回,,,,
2015-10-08,1.1890,2.1330,,,1,3.48,开放申购,开放赎回,,,,
2015-09-30,1.1490,2.0930,,,1,0.44,开放申购,开放赎回,,,,
2015-09-29,1.1440,2.0880,,,1,-2.05,开放申购,开放赎回,,,,
2015-09-28,1.1680,2.1120,,,1,2.82,开放申购,开放赎回,,,,
2015-09-25,1.1360,2.0800,,,1,-2.57,开放申购,开放赎回,,,,
2015-09-24,1.1660,2.1100,,,1,1.66,开放申购,开放赎回,,,,
2015-09-23,1.1470,2.0910,,,1,-0.43,开放申购,开放赎回,,,,
2015-09-22,1.1520,2.0960,,,1,0.44,开放申购,开放赎回,,,,
2015-09-21,1.1470,2.0910,,,1,1.96,开放申购,开放赎回,,,,
2015-09-18,1.1250,2.0690,,,1,0.54,开放申购,开放赎回,,,,
2015-09-17,1.1190,2.0630,,,1,-0.27,开放申购,开放赎回,,,,
2015-09-16,1.1220,2.0660,,,1,0.45,开放申购,开放赎回,,,,
2015-09-15,1.1170,2.0610,,,1,-0.18,开放申购,开放赎回,,,,
2015-09-14,1.1190,2.0630,,,1,-0.09,开放申购,开放赎回,,,,
2015-09-11,1.1200,2.0640,,,1,0.00,开放申购,开放赎回,,,,
2015-09-10,1.1200,2.0640,,,1,0.00,开放申购,开放赎回,,,,
