ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000002.SZ,20151218,22.4,24.43,21.66,24.43,22.21,2.22,10.0,2238984.02,5288950.848
000002.SZ,20151217,20.38,22.21,20.35,22.21,20.19,2.02,10.01,2583392.65,5616476.774
000002.SZ,20151216,20.63,20.99,20.01,20.19,21.08,-0.89,-4.22,1185363.96,2410648.6991
000002.SZ,20151215,19.6,21.46,19.6,21.08,20.08,1.0,4.98,1673876.32,3487966.8282
000002.SZ,20151214,19.6,20.48,19.01,20.08,19.9,0.18,0.9,1392194.06,2747638.826
000002.SZ,20151211,19.14,20.34,18.78,19.9,19.54,0.36,1.84,2035008.42,3998320.2248
000002.SZ,20151210,19.59,21.36,19.02,19.54,19.55,-0.01,-0.05,3067374.66,6153428.1905
000002.SZ,20151209,17.95,19.55,17.81,19.55,17.77,1.78,10.02,3598519.73,6732052.6427
000002.SZ,20151208,17.9,18.07,17.4,17.77,18.02,-0.25,-1.39,1529886.06,2702009.0484
000002.SZ,20151207,18.82,18.98,17.67,18.02,18.98,-0.96,-5.06,2255719.38,4100197.2098
000002.SZ,20151204,18.9,19.84,18.6,18.98,19.15,-0.17,-0.89,3768009.49,7225322.0609
000002.SZ,20151203,18.45,19.33,18.08,19.15,18.24,0.91,4.99,4771236.37,8914671.5143
000002.SZ,20151202,16.68,18.24,16.54,18.24,16.58,1.66,10.01,6389886.13,11337757.0571
000002.SZ,20151201,14.99,16.58,14.93,16.58,15.07,1.51,10.02,3750163.7,6042685.1845
000002.SZ,20151130,14.29,15.25,14.28,15.07,14.26,0.81,5.68,2020009.99,3029921.8054
000002.SZ,20151127,14.43,14.65,14.24,14.26,14.5,-0.24,-1.66,888155.58,1286416.5869
000002.SZ,20151126,14.55,14.62,14.47,14.5,14.56,-0.06,-0.41,383748.22,558000.8154
000002.SZ,20151125,14.42,14.72,14.39,14.56,14.5,0.06,0.41,581818.63,848024.6591
000002.SZ,20151124,14.37,14.55,14.14,14.5,14.37,0.13,0.9,745686.58,1068471.9801
000002.SZ,20151123,14.5,14.64,14.32,14.37,14.49,-0.12,-0.83,629288.1,911464.9076
000002.SZ,20151120,14.45,14.72,14.37,14.49,14.5,-0.01,-0.07,732482.95,1064007.0011
000002.SZ,20151119,14.6,14.6,14.18,14.5,14.67,-0.17,-1.16,886044.41,1272044.2444
000002.SZ,20151118,14.07,15.27,14.01,14.67,14.0,0.67,4.79,1753443.74,2576146.3066
000002.SZ,20151117,14.03,14.3,13.9,14.0,14.0,0.0,0.0,651299.51,918176.2724
000002.SZ,20151116,13.81,14.0,13.71,14.0,13.9,0.1,0.72,320707.08,445294.0963
000002.SZ,20151113,14.0,14.05,13.83,13.9,14.09,-0.19,-1.35,383628.08,534644.203
000002.SZ,20151112,14.24,14.25,14.01,14.09,14.17,-0.08,-0.56,534850.66,755530.6772
000002.SZ,20151111,14.21,14.32,14.1,14.17,14.27,-0.1,-0.7,578612.55,822609.3092
000002.SZ,20151110,14.33,14.37,14.2,14.27,14.4,-0.13,-0.9,524600.45,749031.9089
000002.SZ,20151109,14.21,14.66,14.18,14.4,14.21,0.19,1.34,830505.01,1202251.924
000002.SZ,20151106,14.11,14.31,14.06,14.21,14.12,0.09,0.64,501764.57,710839.3682
