ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20151231,218.22,219.5,217.82,218.19,218.86,-0.67,-0.31,19673.87,429872.169
600519.SH,20151230,220.18,220.66,217.52,218.86,219.83,-0.97,-0.44,20147.66,440489.185
600519.SH,20151229,218.62,220.44,218.51,219.83,219.12,0.71,0.32,15774.33,345982.477
600519.SH,20151228,225.48,226.0,219.0,219.12,224.5,-5.38,-2.4,25594.52,569404.122
600519.SH,20151225,225.0,225.66,222.88,224.5,224.78,-0.28,-0.12,11542.95,258870.006
600519.SH,20151224,223.98,225.68,223.2,224.78,223.0,1.78,0.8,15577.88,350137.309
600519.SH,20151223,225.45,226.69,222.7,223.0,225.03,-2.03,-0.9,22374.97,501438.271
600519.SH,20151222,226.8,226.8,223.28,225.03,227.03,-2.0,-0.88,28402.45,638684.794
600519.SH,20151221,218.0,229.18,218.0,227.03,216.88,10.15,4.68,59391.89,1341466.585
600519.SH,20151218,215.5,219.15,215.11,216.88,215.86,1.02,0.47,28460.2,618897.538
600519.SH,20151217,214.39,216.88,214.0,215.86,213.91,1.95,0.91,24253.21,523818.38
600519.SH,20151216,214.41,214.64,212.59,213.91,214.51,-0.6,-0.28,20144.8,430371.563
600519.SH,20151215,213.8,214.59,212.08,214.51,214.1,0.41,0.19,15088.39,321828.819
600519.SH,20151214,210.19,214.88,209.0,214.1,211.41,2.69,1.27,20701.34,439584.116
600519.SH,20151211,212.5,212.5,210.5,211.41,212.96,-1.55,-0.73,13035.48,275655.733
600519.SH,20151210,215.0,216.2,211.99,212.96,214.47,-1.51,-0.7,13786.71,295297.553
600519.SH,20151209,211.58,215.05,211.5,214.47,211.94,2.53,1.19,14119.77,302039.607
600519.SH,20151208,214.55,214.55,211.46,211.94,214.51,-2.57,-1.2,17393.68,370510.935
600519.SH,20151207,215.0,216.98,213.2,214.51,215.31,-0.8,-0.37,19255.09,413697.607
600519.SH,20151204,219.96,219.96,215.01,215.31,220.2,-4.89,-2.22,20848.71,452200.743
600519.SH,20151203,219.0,221.4,216.7,220.2,221.58,-1.38,-0.62,22386.83,489928.569
600519.SH,20151202,214.48,227.0,212.0,221.58,213.8,7.78,3.64,47891.45,1055325.951
600519.SH,20151201,213.0,213.95,211.0,213.8,214.31,-0.51,-0.24,18877.54,400895.906
600519.SH,20151130,208.04,214.78,207.79,214.31,207.74,6.57,3.16,33440.03,702029.94
600519.SH,20151127,212.49,212.54,206.63,207.74,212.84,-5.1,-2.4,16220.72,339061.425
600519.SH,20151126,213.49,213.79,211.83,212.84,212.98,-0.14,-0.07,18804.53,400523.684
600519.SH,20151125,211.7,213.0,210.4,212.98,211.69,1.29,0.61,24249.81,512351.419
600519.SH,20151124,212.39,213.28,210.0,211.69,212.62,-0.93,-0.44,20469.02,431548.236
600519.SH,20151123,213.0,213.84,212.51,212.62,213.72,-1.1,-0.51,20994.73,446996.434
600519.SH,20151120,215.14,215.78,213.1,213.72,215.03,-1.31,-0.61,22274.23,476413.651
600519.SH,20151119,214.0,216.0,213.9,215.03,214.66,0.37,0.17,15262.76,327777.826
600519.SH,20151118,213.59,216.0,213.59,214.66,214.36,0.3,0.14,19725.54,423815.322
600519.SH,20151117,214.72,217.5,213.14,214.36,213.78,0.58,0.27,21986.35,473813.948
