FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2020-12-31,8.4040,8.4040,,,1,2.16,开放申购,开放赎回,,,,
2020-12-30,8.2260,8.2260,,,1,1.98,开放申购,开放赎回,,,,
2020-12-29,8.0660,8.0660,,,1,-0.31,开放申购,开放赎回,,,,
2020-12-28,8.0910,8.0910,,,1,2.26,开放申购,开放赎回,,,,
2020-12-25,7.9120,7.9120,,,1,0.52,开放申购,开放赎回,,,,
2020-12-24,7.8710,7.8710,,,1,-0.92,开放申购,开放赎回,,,,
2020-12-23,7.9440,7.9440,,,1,0.01,开放申购,开放赎回,,,,
2020-12-22,7.9430,7.9430,,,1,0.15,开放申购,开放赎回,,,,
2020-12-21,7.9310,7.9310,,,1,1.21,开放申购,开放赎回,,,,
2020-12-18,7.8360,7.8360,,,1,-0.72,开放申购,开放赎回,,,,
2020-12-17,7.8930,7.8930,,,1,1.94,开放申购,开放赎回,,,,
2020-12-16,7.7430,7.7430,,,1,1.14,开放申购,开放赎回,,,,
2020-12-15,7.6560,7.6560,,,1,0.39,开放申购,开放赎回,,,,
2020-12-14,7.6260,7.6260,,,1,1.48,开放申购,开放赎回,,,,
2020-12-11,7.5150,7.5150,,,1,-0.36,开放申购,开放赎回,,,,
2020-12-10,7.5420,7.5420,,,1,0.37,开放申购,开放赎回,,,,
2020-12-09,7.5140,7.5140,,,1,-0.45,开放申购,开放赎回,,,,
2020-12-08,7.5480,7.5480,,,1,0.07,开放申购,开放赎回,,,,
2020-12-07,7.5430,7.5430,,,1,0.63,开放申购,开放赎回,,,,
2020-12-04,7.4960,7.4960,,,1,1.99,开放申购,开放赎回,,,,
2020-12-03,7.3500,7.3500,,,1,0.92,开放申购,开放赎回,,,,
2020-12-02,7.2830,7.2830,,,1,-0.03,开放申购,开放赎回,,,,
2020-12-01,7.2850,7.2850,,,1,1.49,开放申购,开放赎回,,,,
2020-11-30,7.1780,7.1780,,,1,-1.32,开放申购,开放赎回,,,,
2020-11-27,7.2740,7.2740,,,1,0.65,开放申购,开放赎回,,,,
2020-11-26,7.2270,7.2270,,,1,-0.15,开放申购,开放赎回,,,,
2020-11-25,7.2380,7.2380,,,1,-2.64,开放申购,开放赎回,,,,
2020-11-24,7.4340,7.4340,,,1,-0.56,开放申购,开放赎回,,,,
2020-11-23,7.4760,7.4760,,,1,0.56,开放申购,开放赎回,,,,
2020-11-20,7.4340,7.4340,,,1,0.85,开放申购,开放赎回,,,,
2020-11-19,7.3710,7.3710,,,1,1.54,开放申购,开放赎回,,,,
2020-11-18,7.2590,7.2590,,,1,-1.44,开放申购,开放赎回,,,,
2020-11-17,7.3650,7.3650,,,1,-1.19,开放申购,开放赎回,,,,
2020-11-16,7.4540,7.4540,,,1,1.02,开放申购,开放赎回,,,,
2020-11-13,7.3790,7.3790,,,1,-1.31,开放申购,开放赎回,,,,
2020-11-12,7.4770,7.4770,,,1,0.93,开放申购,开放赎回,,,,
2020-11-11,7.4080,7.4080,,,1,-0.63,开放申购,开放赎回,,,,
2020-11-10,7.4550,7.4550,,,1,-0.43,开放申购,开放赎回,,,,
2020-11-09,7.4870,7.4870,,,1,1.45,开放申购,开放赎回,,,,
2020-11-06,7.3800,7.3800,,,1,-0.89,开放申购,开放赎回,,,,
2020-11-05,7.4460,7.4460,,,1,0.61,开放申购,开放赎回,,,,
2020-11-04,7.4010,7.4010,,,1,0.94,开放申购,开放赎回,,,,
2020-11-03,7.3320,7.3320,,,1,0.91,开放申购,开放赎回,,,,
2020-11-02,7.2660,7.2660,,,1,0.22,开放申购,开放赎回,,,,
2020-10-30,7.2500,7.2500,,,1,-2.00,开放申购,开放赎回,,,,
2020-10-29,7.3980,7.3980,,,1,1.68,开放申购,开放赎回,,,,
2020-10-28,7.2760,7.2760,,,1,2.25,开放申购,开放赎回,,,,
2020-10-27,7.1160,7.1160,,,1,1.11,开放申购,开放赎回,,,,
2020-10-26,7.0380,7.0380,,,1,-0.47,开放申购,开放赎回,,,,
2020-10-23,7.0710,7.0710,,,1,-2.87,开放申购,开放赎回,,,,
2020-10-22,7.2800,7.2800,,,1,-0.30,开放申购,开放赎回,,,,
2020-10-21,7.3020,7.3020,,,1,-0.63,开放申购,开放赎回,,,,
2020-10-20,7.3480,7.3480,,,1,1.72,开放申购,开放赎回,,,,
2020-10-19,7.2240,7.2240,,,1,-1.63,开放申购,开放赎回,,,,
2020-10-16,7.3440,7.3440,,,1,-0.77,开放申购,开放赎回,,,,
2020-10-15,7.4010,7.4010,,,1,-0.44,开放申购,开放赎回,,,,
2020-10-14,7.4340,7.4340,,,1,-0.60,开放申购,开放赎回,,,,
2020-10-13,7.4790,7.4790,,,1,0.58,开放申购,开放赎回,,,,
2020-10-12,7.4360,7.4360,,,1,2.75,开放申购,开放赎回,,,,
2020-10-09,7.2370,7.2370,,,1,1.26,开放申购,开放赎回,,,,
2020-09-30,7.1470,7.1470,,,1,0.32,开放申购,开放赎回,,,,
2020-09-29,7.1240,7.1240,,,1,0.64,开放申购,开放赎回,,,,
2020-09-28,7.0790,7.0790,,,1,0.67,开放申购,开放赎回,,,,
2020-09-25,7.0320,7.0320,,,1,0.21,开放申购,开放赎回,,,,
2020-09-24,7.0170,7.0170,,,1,-1.78,开放申购,开放赎回,,,,
2020-09-23,7.1440,7.1440,,,1,1.46,开放申购,开放赎回,,,,
2020-09-22,7.0410,7.0410,,,1,-0.16,开放申购,开放赎回,,,,
2020-09-21,7.0520,7.0520,,,1,-1.52,开放申购,开放赎回,,,,
2020-09-18,7.1610,7.1610,,,1,1.36,开放申购,开放赎回,,,,
2020-09-17,7.0650,7.0650,,,1,-1.45,开放申购,开放赎回,,,,
2020-09-16,7.1690,7.1690,,,1,-1.62,开放申购,开放赎回,,,,
2020-09-15,7.2870,7.2870,,,1,1.50,开放申购,开放赎回,,,,
2020-09-14,7.1790,7.1790,,,1,0.46,开放申购,开放赎回,,,,
2020-09-11,7.1460,7.1460,,,1,1.78,开放申购,开放赎回,,,,
2020-09-10,7.0210,7.0210,,,1,1.44,开放申购,开放赎回,,,,
2020-09-09,6.9210,6.9210,,,1,-2.79,开放申购,开放赎回,,,,
2020-09-08,7.1200,7.1200,,,1,-0.93,开放申购,开放赎回,,,,
2020-09-07,7.1870,7.1870,,,1,-3.34,开放申购,开放赎回,,,,
2020-09-04,7.4350,7.4350,,,1,-1.84,开放申购,开放赎回,,,,
2020-09-03,7.5740,7.5740,,,1,-0.43,开放申购,开放赎回,,,,
2020-09-02,7.6070,7.6070,,,1,0.22,开放申购,开放赎回,,,,
2020-09-01,7.5900,7.5900,,,1,0.24,开放申购,开放赎回,,,,
2020-08-31,7.5720,7.5720,,,1,-0.30,开放申购,开放赎回,,,,
2020-08-28,7.5950,7.5950,,,1,2.87,开放申购,开放赎回,,,,
2020-08-27,7.3830,7.3830,,,1,0.82,开放申购,开放赎回,,,,
2020-08-26,7.3230,7.3230,,,1,-0.79,开放申购,开放赎回,,,,
2020-08-25,7.3810,7.3810,,,1,1.08,开放申购,开放赎回,,,,
2020-08-24,7.3020,7.3020,,,1,0.55,开放申购,开放赎回,,,,
2020-08-21,7.2620,7.2620,,,1,1.89,开放申购,开放赎回,,,,
2020-08-20,7.1270,7.1270,,,1,-1.18,开放申购,开放赎回,,,,
2020-08-19,7.2120,7.2120,,,1,-1.60,开放申购,开放赎回,,,,
2020-08-18,7.3290,7.3290,,,1,1.68,开放申购,开放赎回,,,,
2020-08-17,7.2080,7.2080,,,1,0.95,开放申购,开放赎回,,,,
2020-08-14,7.1400,7.1400,,,1,2.10,开放申购,开放赎回,,,,
2020-08-13,6.9930,6.9930,,,1,-0.06,开放申购,开放赎回,,,,
2020-08-12,6.9970,6.9970,,,1,-1.87,开放申购,开放赎回,,,,
2020-08-11,7.1300,7.1300,,,1,-0.07,开放申购,开放赎回,,,,
2020-08-10,7.1350,7.1350,,,1,-0.07,开放申购,开放赎回,,,,
2020-08-07,7.1400,7.1400,,,1,-0.57,开放申购,开放赎回,,,,
2020-08-06,7.1810,7.1810,,,1,-1.56,开放申购,开放赎回,,,,
2020-08-05,7.2950,7.2950,,,1,0.52,开放申购,开放赎回,,,,
2020-08-04,7.2570,7.2570,,,1,-1.20,开放申购,开放赎回,,,,
2020-08-03,7.3450,7.3450,,,1,0.81,开放申购,开放赎回,,,,
2020-07-31,7.2860,7.2860,,,1,1.39,开放申购,开放赎回,,,,
2020-07-30,7.1860,7.1860,,,1,-0.11,开放申购,开放赎回,,,,
2020-07-29,7.1940,7.1940,,,1,2.27,开放申购,开放赎回,,,,
2020-07-28,7.0340,7.0340,,,1,2.88,开放申购,开放赎回,,,,
2020-07-27,6.8370,6.8370,,,1,0.18,开放申购,开放赎回,,,,
2020-07-24,6.8250,6.8250,,,1,-5.50,开放申购,开放赎回,,,,
2020-07-23,7.2220,7.2220,,,1,1.32,开放申购,开放赎回,,,,
2020-07-22,7.1280,7.1280,,,1,1.31,开放申购,开放赎回,,,,
2020-07-21,7.0360,7.0360,,,1,1.85,开放申购,开放赎回,,,,
2020-07-20,6.9080,6.9080,,,1,0.03,开放申购,开放赎回,,,,
2020-07-17,6.9060,6.9060,,,1,2.95,开放申购,开放赎回,,,,
2020-07-16,6.7080,6.7080,,,1,-6.21,开放申购,开放赎回,,,,
2020-07-15,7.1520,7.1520,,,1,0.78,开放申购,开放赎回,,,,
2020-07-14,7.0970,7.0970,,,1,0.00,开放申购,开放赎回,,,,
2020-07-13,7.0970,7.0970,,,1,2.16,开放申购,开放赎回,,,,
2020-07-10,6.9470,6.9470,,,1,1.28,开放申购,开放赎回,,,,
2020-07-09,6.8590,6.8590,,,1,1.22,开放申购,开放赎回,,,,
2020-07-08,6.7760,6.7760,,,1,0.77,开放申购,开放赎回,,,,
2020-07-07,6.7240,6.7240,,,1,2.38,开放申购,开放赎回,,,,
