FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2008-12-31,1.0860,1.3750,,,1,0.18,暂停申购,开放赎回,,,,
2008-12-30,1.0841,1.3731,,,1,-0.30,暂停申购,开放赎回,,,,
2008-12-29,1.0874,1.3764,,,1,-0.08,暂停申购,开放赎回,,,,
2008-12-26,1.0883,1.3773,,,1,0.39,暂停申购,开放赎回,,,,
2008-12-25,1.0841,1.3731,,,1,0.01,暂停申购,开放赎回,,,,
2008-12-24,1.0840,1.3730,,,1,0.40,暂停申购,开放赎回,,,,
2008-12-23,1.0797,1.3687,,,1,-0.10,暂停申购,开放赎回,0.05,0,,每份派现金0.0500元
2008-12-22,1.1308,1.3698,,,1,-0.26,暂停申购,开放赎回,,,,
2008-12-19,1.1338,1.3728,,,1,0.40,暂停申购,开放赎回,,,,
2008-12-18,1.1293,1.3683,,,1,0.35,暂停申购,开放赎回,,,,
2008-12-17,1.1254,1.3644,,,1,0.48,暂停申购,开放赎回,,,,
2008-12-16,1.1200,1.3590,,,1,0.11,暂停申购,开放赎回,,,,
2008-12-15,1.1188,1.3578,,,1,0.12,暂停申购,开放赎回,,,,
2008-12-12,1.1175,1.3565,,,1,0.13,暂停申购,开放赎回,,,,
2008-12-11,1.1161,1.3551,,,1,0.71,暂停申购,开放赎回,,,,
2008-12-10,1.1082,1.3472,,,1,0.32,暂停申购,开放赎回,,,,
2008-12-09,1.1047,1.3437,,,1,-0.14,暂停申购,开放赎回,,,,
2008-12-08,1.1063,1.3453,,,1,0.10,暂停申购,开放赎回,,,,
2008-12-05,1.1052,1.3442,,,1,0.50,暂停申购,开放赎回,,,,
2008-12-04,1.0997,1.3387,,,1,0.05,暂停申购,开放赎回,,,,
2008-12-03,1.0991,1.3381,,,1,0.37,暂停申购,开放赎回,,,,
2008-12-02,1.0950,1.3340,,,1,0.05,暂停申购,开放赎回,,,,
2008-12-01,1.0944,1.3334,,,1,0.28,暂停申购,开放赎回,,,,
2008-11-28,1.0913,1.3303,,,1,-0.33,暂停申购,开放赎回,,,,
2008-11-27,1.0949,1.3339,,,1,0.74,暂停申购,开放赎回,,,,
2008-11-26,1.0869,1.3259,,,1,0.18,限制大额申购,开放赎回,,,,
2008-11-25,1.0849,1.3239,,,1,-0.29,限制大额申购,开放赎回,,,,
2008-11-24,1.0881,1.3271,,,1,-0.37,限制大额申购,开放赎回,,,,
2008-11-21,1.0921,1.3311,,,1,0.30,限制大额申购,开放赎回,,,,
2008-11-20,1.0888,1.3278,,,1,-0.25,限制大额申购,开放赎回,,,,
2008-11-19,1.0915,1.3305,,,1,-0.37,限制大额申购,开放赎回,,,,
2008-11-18,1.0956,1.3346,,,1,0.18,限制大额申购,开放赎回,,,,
2008-11-17,1.0936,1.3326,,,1,-0.38,限制大额申购,开放赎回,,,,
2008-11-14,1.0978,1.3368,,,1,-0.22,限制大额申购,开放赎回,,,,
2008-11-13,1.1002,1.3392,,,1,0.09,限制大额申购,开放赎回,,,,
2008-11-12,1.0992,1.3382,,,1,0.27,限制大额申购,开放赎回,,,,
2008-11-11,1.0962,1.3352,,,1,-0.11,限制大额申购,开放赎回,,,,
2008-11-10,1.0974,1.3364,,,1,0.27,限制大额申购,开放赎回,,,,
2008-11-07,1.0945,1.3335,,,1,0.17,限制大额申购,开放赎回,,,,
2008-11-06,1.0926,1.3316,,,1,0.08,限制大额申购,开放赎回,,,,
