"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2009-6-1","2,721.28","2,668.40","2,726.72","2,668.40","14.80B","3.36%"
"2009-5-27","2,632.93","2,601.24","2,635.31","2,592.79","10.32B","1.71%"
"2009-5-26","2,588.57","2,615.01","2,618.80","2,585.91","11.45B","-0.82%"
"2009-5-25","2,610.01","2,555.34","2,618.36","2,538.62","11.20B","0.48%"
"2009-5-22","2,597.60","2,595.99","2,617.75","2,578.59","9.91B","-0.50%"
"2009-5-21","2,610.62","2,639.14","2,663.23","2,598.87","13.89B","-1.54%"
"2009-5-20","2,651.41","2,680.55","2,686.34","2,651.01","13.82B","-0.94%"
"2009-5-19","2,676.68","2,679.40","2,688.11","2,660.56","14.75B","0.90%"
"2009-5-18","2,652.78","2,632.57","2,656.84","2,589.61","11.90B","0.28%"
"2009-5-15","2,645.26","2,646.89","2,661.37","2,623.36","11.09B","0.20%"
"2009-5-14","2,639.89","2,631.45","2,651.49","2,610.22","12.48B","-0.90%"
"2009-5-13","2,663.77","2,629.03","2,670.21","2,608.32","14.58B","1.74%"
"2009-5-12","2,618.17","2,562.36","2,619.69","2,558.96","12.30B","1.49%"
"2009-5-11","2,579.75","2,646.29","2,663.95","2,579.75","17.82B","-1.75%"
"2009-5-8","2,625.64","2,586.76","2,634.06","2,574.57","16.19B","1.09%"
"2009-5-7","2,597.45","2,612.12","2,622.11","2,566.12","18.18B","0.19%"
"2009-5-6","2,592.52","2,563.56","2,596.93","2,552.63","16.07B","0.98%"
"2009-5-5","2,567.34","2,577.43","2,590.78","2,552.39","15.84B","0.29%"
"2009-5-4","2,559.91","2,486.68","2,560.54","2,486.22","15.34B","3.32%"
"2009-4-30","2,477.57","2,477.93","2,491.07","2,461.36","13.12B","0.38%"
"2009-4-29","2,468.19","2,401.66","2,477.72","2,395.48","12.65B","2.78%"
"2009-4-28","2,401.44","2,382.88","2,411.44","2,372.34","9.48B","-0.16%"
"2009-4-27","2,405.35","2,443.44","2,452.93","2,393.16","11.30B","-1.77%"
"2009-4-24","2,448.59","2,477.16","2,481.53","2,445.66","11.38B","-0.62%"
"2009-4-23","2,463.95","2,440.68","2,474.15","2,422.79","12.61B","0.11%"
"2009-4-22","2,461.35","2,548.11","2,579.22","2,449.89","19.40B","-2.94%"
"2009-4-21","2,535.83","2,523.26","2,552.60","2,499.60","16.46B","-0.85%"
"2009-4-20","2,557.46","2,500.17","2,559.04","2,497.32","14.79B","2.14%"
"2009-4-17","2,503.93","2,524.63","2,539.35","2,481.90","16.16B","-1.19%"
"2009-4-16","2,534.13","2,542.34","2,549.31","2,497.12","18.62B","-0.08%"
"2009-4-15","2,536.06","2,514.59","2,542.54","2,485.93","18.11B","0.35%"
"2009-4-14","2,527.18","2,512.01","2,532.09","2,495.34","16.52B","0.54%"
"2009-4-13","2,513.70","2,468.08","2,522.45","2,464.06","19.13B","2.84%"
"2009-4-10","2,444.23","2,400.01","2,444.98","2,392.80","15.75B","2.70%"
"2009-4-9","2,379.88","2,345.01","2,380.93","2,331.88","11.32B","1.38%"
"2009-4-8","2,347.39","2,429.88","2,435.39","2,346.54","14.68B","-3.76%"
"2009-4-7","2,439.18","2,422.10","2,449.54","2,407.51","12.42B","0.80%"
"2009-4-3","2,419.78","2,446.12","2,456.81","2,406.50","17.03B","-0.23%"
