"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2009-6-1","8,721.44","8,501.53","8,760.70","8,501.29","354.83M","2.60%"
"2009-5-31","8,500.33","8,500.33","8,500.33","8,500.33","","0.00%"
"2009-5-30","8,500.33","8,500.33","8,500.33","8,500.33","","0.00%"
"2009-5-29","8,500.33","8,404.04","8,522.95","8,368.52","361.91M","1.15%"
"2009-5-28","8,403.80","8,300.50","8,434.62","8,246.58","290.73M","1.25%"
"2009-5-27","8,300.02","8,473.65","8,496.59","8,289.35","285.99M","-2.05%"
"2009-5-26","8,473.49","8,275.33","8,495.71","8,226.90","314.76M","2.37%"
"2009-5-25","8,277.32","8,277.32","8,277.32","8,277.32","","0.00%"
"2009-5-24","8,277.32","8,277.32","8,277.32","8,277.32","","0.00%"
"2009-5-23","8,277.32","8,277.32","8,277.32","8,277.32","","0.00%"
"2009-5-22","8,277.32","8,292.21","8,364.14","8,257.17","244.19M","-0.18%"
"2009-5-21","8,292.13","8,416.07","8,416.15","8,221.01","302.28M","-1.54%"
"2009-5-20","8,422.04","8,471.82","8,591.93","8,405.47","468.64M","-0.62%"
"2009-5-19","8,474.85","8,502.48","8,538.01","8,463.54","277.71M","-0.34%"
"2009-5-18","8,504.08","8,270.15","8,511.88","8,270.15","288.28M","2.85%"
"2009-5-17","8,268.64","8,268.64","8,268.64","8,268.64","","0.00%"
"2009-5-16","8,268.64","8,268.64","8,268.64","8,268.64","","0.00%"
"2009-5-15","8,268.64","8,326.22","8,394.96","8,230.17","308.82M","-0.75%"
"2009-5-14","8,331.32","8,285.92","8,376.64","8,273.90","323.80M","0.56%"
"2009-5-13","8,284.89","8,461.80","8,462.04","8,262.43","336.93M","-2.18%"
"2009-5-12","8,469.11","8,419.17","8,517.46","8,365.65","334.84M","0.60%"
"2009-5-11","8,418.77","8,569.23","8,569.23","8,410.33","332.63M","-1.82%"
"2009-5-10","8,574.65","8,574.65","8,574.65","8,574.65","","0.00%"
"2009-5-9","8,574.65","8,574.65","8,574.65","8,574.65","","0.00%"
"2009-5-8","8,574.65","8,410.73","8,587.55","8,410.73","428.42M","1.96%"
"2009-5-7","8,409.85","8,513.56","8,577.19","8,358.00","476.64M","-1.20%"
"2009-5-6","8,512.28","8,403.48","8,518.57","8,403.00","454.48M","1.21%"
"2009-5-5","8,410.65","8,425.55","8,458.12","8,362.78","311.49M","-0.19%"
"2009-5-4","8,426.74","8,213.60","8,434.86","8,213.60","354.49M","2.61%"
"2009-5-3","8,212.41","8,212.41","8,212.41","8,212.41","","0.00%"
