FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2015-12-31,1.0340,1.1630,,,1,0.00,暂停申购,暂停赎回,,,,
2015-12-30,1.0340,1.1630,,,1,0.00,暂停申购,暂停赎回,,,,
2015-12-29,1.0340,1.1630,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-28,1.0330,1.1620,,,1,0.00,暂停申购,暂停赎回,,,,
2015-12-25,1.0330,1.1620,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-24,1.0320,1.1610,,,1,0.00,暂停申购,暂停赎回,,,,
2015-12-23,1.0320,1.1610,,,1,0.07,暂停申购,暂停赎回,0.0177,0,,每份派现金0.0177元
2015-12-22,1.0490,1.1610,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-21,1.0480,1.1600,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-18,1.0470,1.1590,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-17,1.0460,1.1580,,,1,0.00,暂停申购,暂停赎回,,,,
2015-12-16,1.0460,1.1580,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-15,1.0450,1.1570,,,1,0.00,暂停申购,暂停赎回,,,,
2015-12-14,1.0450,1.1570,,,1,0.00,暂停申购,暂停赎回,,,,
2015-12-11,1.0450,1.1570,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-10,1.0440,1.1560,,,1,0.00,暂停申购,暂停赎回,,,,
2015-12-09,1.0440,1.1560,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-08,1.0430,1.1550,,,1,0.00,开放申购,开放赎回,,,,
2015-12-07,1.0430,1.1550,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-04,1.0420,1.1540,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-03,1.0410,1.1530,,,1,0.10,暂停申购,暂停赎回,,,,
2015-12-02,1.0400,1.1520,,,1,0.00,暂停申购,暂停赎回,,,,
