FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
2015-12-31,1.1660,2.2120,-3.64,封闭期,封闭期,,,1,,,,
2015-12-30,1.2100,2.2200,2.72,封闭期,封闭期,,,1,,,,
2015-12-29,1.1780,2.2140,1.38,封闭期,封闭期,,,1,,,,
2015-12-28,1.1620,2.2120,-2.92,封闭期,封闭期,,,1,,,,
2015-12-25,1.1970,2.2180,0.17,封闭期,封闭期,,,1,,,,
2015-12-24,1.1950,2.2170,0.17,封闭期,封闭期,,,1,,,,
2015-12-23,1.1930,2.2170,-3.87,封闭期,封闭期,,,1,,,,
2015-12-22,1.2410,2.2250,1.80,封闭期,封闭期,,,1,,,,
2015-12-21,1.2190,2.2220,0.58,封闭期,封闭期,,,1,,,,
2015-12-18,1.2120,2.2200,-1.78,封闭期,封闭期,,,1,,,,
2015-12-17,1.2340,2.2240,4.75,封闭期,封闭期,,,1,,,,
2015-12-16,1.1780,2.2140,0.51,封闭期,封闭期,,,1,,,,
2015-12-15,1.1720,2.2130,2.90,封闭期,封闭期,,,1,,,,
2015-12-14,1.1390,2.2080,2.34,封闭期,封闭期,,,1,,,,
2015-12-11,1.1130,2.2030,-0.54,封闭期,封闭期,,,1,,,,
2015-12-10,1.1190,2.2040,1.63,封闭期,封闭期,,,1,,,,
2015-12-09,1.1010,2.2010,-0.45,封闭期,封闭期,,,1,,,,
2015-12-08,1.1060,2.2020,-3.15,封闭期,封闭期,,,1,,,,
2015-12-07,1.1420,2.2080,3.07,封闭期,封闭期,,,1,,,,
2015-12-04,1.1080,2.2020,-1.77,封闭期,封闭期,,,1,,,,
2015-12-03,1.1280,2.2060,6.31,封闭期,封闭期,,,1,,,,
2015-12-02,1.0610,2.1940,-2.39,封闭期,封闭期,,,1,,,,
2015-12-01,1.0870,2.1990,-1.98,封闭期,封闭期,,,1,,,,
2015-11-30,1.1090,2.2020,2.02,封闭期,封闭期,,,1,,,,
2015-11-27,1.0870,2.1990,-11.98,封闭期,封闭期,,,1,,,,
2015-11-26,1.2350,2.2240,-2.60,封闭期,封闭期,,,1,,,,
2015-11-25,1.2680,2.2300,4.45,封闭期,封闭期,,,1,,,,
2015-11-24,1.2140,2.2210,2.71,封闭期,封闭期,,,1,,,,
2015-11-23,1.1820,2.2150,-1.99,封闭期,封闭期,,,1,,,,
2015-11-20,1.2060,2.2190,2.99,封闭期,封闭期,,,1,,,,
2015-11-19,1.1710,2.2130,8.13,封闭期,封闭期,,,1,,,,
2015-11-18,1.0830,2.1980,-3.90,封闭期,封闭期,,,1,,,,
2015-11-17,1.1270,2.2060,-3.26,封闭期,封闭期,,,1,,,,
2015-11-16,1.1650,2.2120,5.91,封闭期,封闭期,,,1,,,,
2015-11-13,1.1000,2.2010,-4.68,封闭期,封闭期,,,1,,,,
2015-11-12,1.1540,2.2100,-1.20,封闭期,封闭期,,,1,,,,
2015-11-11,1.1680,2.2130,3.36,封闭期,封闭期,,,1,,,,
2015-11-10,1.1300,2.2060,1.07,封闭期,封闭期,,,1,,,,
2015-11-09,1.1180,2.2040,4.58,封闭期,封闭期,,,1,,,,
2015-11-06,1.0690,2.1950,8.09,封闭期,封闭期,,,1,,,,
2015-11-05,0.9890,2.1820,-1.00,封闭期,封闭期,,,1,,,,
2015-11-04,0.9990,2.1830,13.65,封闭期,封闭期,,,1,,,,
2015-11-03,0.8790,2.1630,-0.68,封闭期,封闭期,,,1,,,,
2015-11-02,0.8850,2.1640,-5.04,封闭期,封闭期,,,1,,,,
2015-10-30,0.9320,2.1720,1.30,封闭期,封闭期,,,1,,,,
2015-10-29,0.9200,2.1700,1.32,封闭期,封闭期,,,1,,,,
2015-10-28,0.9080,2.1680,-6.00,封闭期,封闭期,,,1,,,,
2015-10-27,0.9660,2.1780,2.99,封闭期,封闭期,,,1,,,,
2015-10-26,0.9380,2.1730,0.32,封闭期,封闭期,,,1,,,,
2015-10-23,0.9350,2.1720,7.10,封闭期,封闭期,,,1,,,,
2015-10-22,0.8730,2.1610,9.26,封闭期,封闭期,,,1,,,,
2015-10-21,0.7990,2.1490,-14.73,封闭期,封闭期,,,1,,,,
2015-10-20,0.9370,2.1730,7.83,封闭期,封闭期,,,1,,,,
2015-10-19,0.8690,2.1610,-0.34,封闭期,封闭期,,,1,,,,
2015-10-16,0.8720,2.1610,3.56,封闭期,封闭期,,,1,,,,
2015-10-15,0.8420,2.1560,9.92,封闭期,封闭期,,,1,,,,
2015-10-14,0.7660,2.1430,-3.77,封闭期,封闭期,,,1,,,,
2015-10-13,0.7960,2.1480,3.24,封闭期,封闭期,,,1,,,,
2015-10-12,0.7710,2.1440,10.94,封闭期,封闭期,,,1,,,,
2015-10-09,0.6950,2.1310,3.27,封闭期,封闭期,,,1,,,,
2015-10-08,0.6730,2.1270,14.07,封闭期,封闭期,,,1,,,,
2015-09-30,0.5900,2.1120,-0.17,封闭期,封闭期,,,1,,,,
2015-09-29,0.5910,2.1130,-4.52,封闭期,封闭期,,,1,,,,
2015-09-28,0.6190,2.1170,10.73,封闭期,封闭期,,,1,,,,
2015-09-25,0.5590,2.1070,-12.79,封闭期,封闭期,,,1,,,,
2015-09-24,0.6410,2.1210,4.06,封闭期,封闭期,,,1,,,,
2015-09-23,0.6160,2.1170,-0.96,封闭期,封闭期,,,1,,,,
2015-09-22,0.6220,2.1180,1.30,封闭期,封闭期,,,1,,,,
2015-09-21,0.6140,2.1170,13.70,封闭期,封闭期,,,1,,,,
2015-09-18,0.5400,2.1040,5.88,封闭期,封闭期,,,1,,,,
2015-09-17,0.5100,2.0980,-3.23,封闭期,封闭期,,,1,,,,
