ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20151231,12.1,12.13,11.98,11.99,12.1,-0.11,-0.91,491258.92,591643.5907
000001.SZ,20151230,12.09,12.11,11.95,12.1,12.09,0.01,0.08,532667.04,641277.2654
000001.SZ,20151229,11.99,12.1,11.97,12.09,11.98,0.11,0.92,619802.14,744718.4163
000001.SZ,20151228,12.43,12.46,11.98,11.98,12.41,-0.43,-3.46,822408.63,1003010.2074
000001.SZ,20151225,12.38,12.47,12.33,12.41,12.34,0.07,0.57,399845.05,495638.0531
000001.SZ,20151224,12.46,12.56,12.24,12.34,12.48,-0.14,-1.12,640229.64,791975.8246
000001.SZ,20151223,12.47,12.78,12.4,12.48,12.43,0.05,0.4,1039018.23,1302341.5383
000001.SZ,20151222,12.5,12.62,12.38,12.43,12.51,-0.08,-0.64,698091.45,870121.7322
000001.SZ,20151221,12.14,12.72,12.11,12.51,12.23,0.28,2.29,1281142.13,1595741.319
000001.SZ,20151218,12.03,12.55,12.02,12.23,12.07,0.16,1.33,1022944.74,1257360.3559
000001.SZ,20151217,11.97,12.14,11.96,12.07,11.89,0.18,1.51,648274.75,780891.8011
000001.SZ,20151216,11.98,12.01,11.88,11.89,11.92,-0.03,-0.25,392762.82,468510.2592
000001.SZ,20151215,12.03,12.09,11.86,11.92,12.07,-0.15,-1.24,364487.35,436557.6937
000001.SZ,20151214,11.73,12.11,11.71,12.07,11.83,0.24,2.03,587236.64,698791.985
000001.SZ,20151211,11.91,11.92,11.73,11.83,11.96,-0.13,-1.09,379508.03,448800.9414
000001.SZ,20151210,11.95,12.14,11.91,11.96,11.99,-0.03,-0.25,417603.58,502326.0726
000001.SZ,20151209,11.92,12.12,11.9,11.99,11.96,0.03,0.25,429384.35,515596.4749
000001.SZ,20151208,12.07,12.09,11.9,11.96,12.15,-0.19,-1.56,503101.79,602568.6259
000001.SZ,20151207,12.18,12.25,12.04,12.15,12.12,0.03,0.25,402792.65,488370.6994
000001.SZ,20151204,12.31,12.38,12.08,12.12,12.45,-0.33,-2.65,764532.45,934906.5686
000001.SZ,20151203,12.39,12.75,12.25,12.45,12.51,-0.06,-0.48,1425976.78,1786008.9721
000001.SZ,20151202,11.7,12.64,11.66,12.51,11.75,0.76,6.47,1615760.86,1978750.5103
000001.SZ,20151201,11.7,11.86,11.51,11.75,11.74,0.01,0.09,680253.9,793118.2141
000001.SZ,20151130,11.72,11.87,11.5,11.74,11.73,0.01,0.09,658493.89,770221.3984
000001.SZ,20151127,12.18,12.2,11.53,11.73,12.23,-0.5,-4.09,728025.94,867702.4306
000001.SZ,20151126,12.36,12.38,12.2,12.23,12.32,-0.09,-0.73,552210.15,679692.1299
000001.SZ,20151125,12.21,12.37,12.17,12.32,12.28,0.04,0.33,513462.72,629507.0636
000001.SZ,20151124,12.41,12.45,12.16,12.28,12.45,-0.17,-1.37,664214.78,812675.9435
000001.SZ,20151123,12.55,12.6,12.38,12.45,12.55,-0.1,-0.8,607975.31,760493.3407
000001.SZ,20151120,12.5,12.59,12.42,12.55,12.5,0.05,0.4,598036.34,747487.1747
000001.SZ,20151119,12.4,12.51,12.33,12.5,12.42,0.08,0.64,471120.67,585570.9833
000001.SZ,20151118,12.46,12.7,12.31,12.42,12.5,-0.08,-0.64,793704.76,991513.8348
