ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600000.SH,20151231,18.52,18.52,18.26,18.27,18.57,-0.3,-1.62,279361.38,513758.894
600000.SH,20151230,18.71,18.78,18.31,18.57,18.74,-0.17,-0.91,356873.85,660326.971
600000.SH,20151229,18.63,18.92,18.39,18.74,18.7,0.04,0.21,472884.65,883333.858
600000.SH,20151228,19.37,19.43,18.62,18.7,19.32,-0.62,-3.21,499806.98,945164.68
600000.SH,20151225,19.02,19.48,18.93,19.32,19.04,0.28,1.47,554278.97,1069153.871
600000.SH,20151224,18.85,19.14,18.67,19.04,18.88,0.16,0.85,571715.54,1083459.057
600000.SH,20151223,18.91,19.13,18.61,18.88,18.9,-0.02,-0.11,661281.71,1249610.55
600000.SH,20151222,19.01,19.29,18.77,18.9,19.14,-0.24,-1.25,531227.44,1006796.481
600000.SH,20151221,18.79,19.4,18.54,19.14,18.81,0.33,1.75,824900.82,1567681.249
600000.SH,20151218,18.49,19.8,18.43,18.81,18.49,0.32,1.73,922119.24,1753311.888
600000.SH,20151217,18.26,18.61,18.2,18.49,18.18,0.31,1.71,533040.71,983362.559
600000.SH,20151216,18.36,18.45,18.11,18.18,18.31,-0.13,-0.71,387006.4,705621.171
600000.SH,20151215,18.44,18.82,18.17,18.31,18.45,-0.14,-0.76,516857.72,950672.911
600000.SH,20151214,18.31,18.63,18.03,18.45,18.6,-0.15,-0.81,707369.58,1290712.912
600000.SH,20151211,19.01,19.22,18.43,18.6,19.27,-0.67,-3.48,870668.26,1630390.309
600000.SH,20151210,19.34,19.88,19.11,19.27,19.23,0.04,0.21,570913.1,1108934.588
600000.SH,20151209,19.58,19.58,19.11,19.23,20.1,-0.87,-4.33,920494.65,1776578.423
600000.SH,20151208,19.28,20.12,18.81,20.1,19.45,0.65,3.34,2398849.49,4764109.259
600000.SH,20151207,18.71,19.5,18.71,19.45,18.71,0.74,3.96,833468.16,1592198.369
600000.SH,20151204,19.27,19.27,18.69,18.71,19.25,-0.54,-2.81,702758.48,1331588.236
