FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2020-12-31,0.6258,2.4020,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-30,0.4445,2.4230,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-29,0.9148,2.5400,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-28,0.5816,2.4000,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-27,0.6617,2.4260,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-26,0.6617,2.4040,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-25,0.6614,2.3820,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-24,0.6650,2.3840,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-23,0.6640,2.2580,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-22,0.6540,2.1490,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-21,0.6292,2.1050,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-20,0.6203,2.0850,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-19,0.6203,2.0710,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-18,0.6654,2.0560,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-17,0.4296,1.9550,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-16,0.4592,2.0110,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-15,0.5703,2.0910,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-14,0.5932,2.1040,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-13,0.5930,2.0960,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-12,0.5930,2.0940,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-11,0.4755,2.0920,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-10,0.5352,2.1380,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-09,0.6093,2.1650,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-08,0.5937,2.2780,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-07,0.5788,2.2730,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-06,0.5891,2.2710,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-05,0.5891,2.2680,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-04,0.5628,2.2660,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-03,0.5852,2.2740,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-02,0.8210,2.2560,,,1,0.00,限制大额申购,开放赎回,,,,
2020-12-01,0.5845,2.1250,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-30,0.5742,2.0820,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-29,0.5845,2.0440,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-28,0.5845,2.0340,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-27,0.5779,2.0240,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-26,0.5529,1.9910,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-25,0.5746,1.9750,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-24,0.5027,1.9600,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-23,0.5035,1.9980,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-22,0.5661,2.0250,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-21,0.5660,2.0170,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-20,0.5151,2.0040,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-19,0.5237,2.0180,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-18,0.5456,2.0270,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-17,0.5737,2.0250,,,1,0.00,限制大额申购,开放赎回,,,,
2020-11-16,0.5554,2.0190,,,1,0.00,限制大额申购,开放赎回,,,,
